[2018-09-10 09:57:34] app_routes.INFO: class is not exists [] []
[2018-09-10 10:01:01] app_routes.INFO: class is not exists [] []
[2018-09-10 10:01:09] app_routes.INFO: class is not exists [] []
[2018-09-13 04:37:58] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:15:09] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:15:49] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:15:49] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:24:18] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:24:37] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:25:24] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:25:59] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:28:07] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:28:25] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:28:35] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:29:13] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:29:48] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:29:53] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:29:54] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:29:54] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:30:00] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:30:01] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:30:01] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 05:55:28] app_routes.INFO: A facade root has not been set. [] []
[2018-09-14 05:55:28] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 06:00:02] app_routes.INFO: A facade root has not been set. [] []
[2018-09-14 06:00:03] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 06:00:26] app_routes.INFO: A facade root has not been set. [] []
[2018-09-14 06:00:26] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 06:01:00] app_routes.INFO: A facade root has not been set. [] []
[2018-09-14 06:01:00] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 06:01:18] app_routes.INFO: A facade root has not been set. [] []
